,abstract
10,sistem rem fitur buah kendara masuk motor disc brake salah komponen keberadaanya pasal komponen medium tekan kampas muncul dampak rem motor kerja optimal jenis disc brake jual disc brake original lokal disc brake original lokal masuk standar laku uji komposisi kimia struktur mikro keras rockwell hasil komposisi kimia metode uji asmt disc brake original lokal uji struktur mikro metode asmt lihat gambar hasil kali original padat banding lokal uji keras rockwell metode beban nilai original nilai keras lokal lihat hasil analisis disc brake original masuk standar aisi disc brake lokal masuk standar aisi
11,analisa pengaruh pakai pertalite pertamax campur putar mesin beda hadap buang mesin langkah tuju teliti pengaruh emisi bahan bakar rendah bahan bakar beda campur bahan bakar hadap buang hasil sisa bakar bahan bakar campur bahan bakar pertamax oktan pertalite oktan presentasi persen kadar emisi buang hasil analisis data hasil uji kena analisis campur bahan bakar pertamax oktan pertalite oktan hadap emisi buang kendara sepeda motor simpul kadar zatzat bahaya emisi buang cenderung turun kadar rendah putar mesin campur bahan bakar putar mesin campur bahan bakar kadar rendah campur bahan bakar putar mesin campur kadar rendah campur bahan bakar putar mesin campur banding hasil uji banding campur murni bahan bakar nilai pertamax murni efficient efficient bahan bakar pertalite murni
12,sprocket rupa salah komponen sepeda motor sistem gerak rantai transmisi gaya putar engine roda sprocket alam aus faktor kendara cepat beban angkut medan tempuh kualitas sprocket sprocket honda supra original kandung unsur sprocket material baja karbon rendah lihat kandung karbon salah upaya nilai keras sprocket proses heat treatment proses heat treatment laku pandai besi tradisional alternatif sprocket kuat harga jangkau teliti laku metode eksperimen laku uji heat treatment hadap sprocket laku pandai besi tradisional variasi temperatur media dingin udara proses heat treatment sprocket panas sprocket variasi temperatur laku tahan menit diquench jenis uji metode keras rockwell laku bblm laku uji nilai keras temperatur ideal media dingin optimal media dingin temperatur hasil nilai keras temperatur panas media dingin ideal media dingin udara temperatur hasil nilai keras sprocket proses heat treatment milik nilai keras banding sprocket laku sprocket alam proses heat treatment simpul proses heat treatment pengaruh hadap ubah nilai keras sprocket
13,hidup seharihari alat bahan baku kayu rupa barang jumpa orang manfaat kayu perabot rumah tangga kantor meja kursi lemari tidur aksesoris bidang bangun kayu pakai kusen pintu jendela plafon rangka atap tiang sangga lainlain manfaat kayu penuh butuh hidup manusia jaman maju nyata kayu alternatif terserndiri minat konsumen pilih hadap bahan kayu kisar nilai estetis seni kesan alamiah pilih kayu timbang ekonomis murah banding besi beton nyata lapang butuh orang hadap perabot kayu saing usaha bidang kayu ketat faktor kualitas kerja harga produksi menentukaan maju usaha salah manfaat kayu bahan baku kontruksi industri bidang kayu produk daun jendelatujuan teliti proses produk daun jendela bahan jenis kayu beda metode teliti hitung stopwatch proses kerja ukur produk daun jendela kayu jenis kamper meranti merah kayu manglid laku ukur proses pengerjaaan hasil banding proses kerja variasi pengerjaanya jenis kayu kamper total menit selesai jenis kayu meranti merah habis menit kerja jenis kayu manglid kerja makan menit selesai
14,teliti laku pengaruh heat treatment variasi media quenching pengaruh tempering quenching hadap keras struktur mikro besi nodular proses laku panas austenisasi temperatur menit diquenching tempering menit menit menit hasil teliti variasi media quenching pengaruh hadap nilai keras sruktur mikro struktur mikro spesimen diquenching cenderung bentuk martensit tajam milik nilai keras ratarata nilai proses tempering akibat urai martensit struktur mikro ubah dominasi perlit fit nilai keras turun
15,ferro casting ductile produk kuat ulet tahan hadap beban puntir rantai konfeyor tingkat kerja material laku keras muka proses tempering proses tempering keras ubah martensit getas bainit fit ukur teliti proses tempering laku dasar variasi suhu beda variabel parameter aplikasi temperatur proses menit menit menit parameter konstan variasi temperatur laku panas verifikasi hasil laku uji keras struktur mikro dasar analisa struktur mikro variasi temperatur laku panas proses tempering menit menit menit hasil white layer muka white layer maksimum temperatur
16,poros engkol crankshaft rupa komponen mesin fungsi ubah gerak turun piston torak gerak putar gerak flywheel roda gila putar poros engkol transmisi roda mobil gerak maju mundur poros engkolcrankshaft bahan besi kuat tahan beban momen cepat mesin putar cepat beban poros engkol letak mesin mobil silinder mesin pasang blok silinder hasil teliti tulis proses laku proses cek rebuild spare part kendara roda proses rebuild crankshaft proses pasang crankshaft proses rebuild libat tahap proses periksa ukur crankshaft proses pasang crankshaft libat tahap proses crankshaft tahap finishing proses pasang blok silinder
17,pakai energi listrik salah energi listrik pengkondisian udara konsumsi daya listrik kondisi udara milik angka total konsumsi energi listrik bangun dunia industri sistem pengkondisian udara refrigerasi tahan kondisi suhu bahan baku produk hasil maksud umur simpan proses dingin sistem refrigerasi motor kompresor media mensirkulasikan refrigerant sistem teliti tuju banding parameter sistem refrigerasi inverter motor kompresor banding sistem refrigerasi konvensional parameter daya listrik kapasitas dingin coefficient performance teliti laku metode basis analisa hadap sistem ambil data laku kali kondisi steady hasil teliti datadata pengunaan inverter kompresor refrigerasi turun daya listrik tingkat sistem refrigerasi tingkat kapasitas dingin
18,pasir silika rupa salah jenis pasir cari industri khusus industri gerak bidang cor logam pasir bahan cetak mudah bentuk pasir silika capai keras maksimal campur bahan kimia resin katalis capai kuat maksimal cetak pasir curing time keras curing time hitung bahan cetak campur aduk curing time resin katalis reaksi cetak capai kuat maksimal teliti tuju ajar pengaruh beda curing time cetak alphaset beda curing time teliti uji uji distribusi pasir uji kuat tekan uji kadar uji uji uji teliti butuh spesimen sampel sampel teliti pasir silika reklamasi nilai pasir silika reklamasi layak nilai pasir silika pasir silika campur
19,analisis rusak skin pesawat cessna fuselage metode doubler tuju teliti tulis rusak upaya proses repair rusak skin fuselage pesawat cessna akibat bentur loading equitment hasil analisa point simpul repair material proses penangulangan alam rusak cacat kuat penuh standar rancang identifikasi rusak structure skin fuselage laksana repair skin fuselage langkah perhati baca manual book repair skin fuselage identifikasi rusak metode doubler indentikasi rusak proses proses removing installing langkah laku proses lepas akses cowling part alam damage lepas rivet potong area damage skin langkah area rusak core alam rusak langkah pasang akses lepas langkah
20,sprocket salah transmisi sepeda motor roda gigi milik sifat ulet sifat keras muka terima gaya geser gaya gesek rantai pasar industri sprocket jenis sprocket original sepeda motor supra sprocket sifat keras muka home industry turun banding original kualiatas sprocket pengaruh hadap umur pakai sprocket home industry jual harga murah beli saing sprocket original hasil uji laku sprocket original harga keras nilai sprocket milik nilai uji kekerasasan rockwell sprocket original sprocket penuh syarat standar aisi mengunakan metode keras komposisi kimia struktur mikro nilai keras sprocket nilai keras nilai sprocket original hasil teliti nyata beda keras sprocket original sprocket beda komposisi kimia material sprocket original sprocket unsur keras hadap sprocket original unsur karbon hadap material sprocket original hasil laku unsur komposisi kimia sprocket mengunakan standar aisi unsur kimia carbon sprocket orginal sprocket nilai unsur nyata nilai penuh syarat standar aisi komposisi kimia sprocket nilai nilai sprocket original nilai
