,abstract
10,globalisasi kembang teknologi informasi pesat informasiinformasi butuh utama individu organisasi sistem aman informasi jaga informasi potensi negative sadap curi rusak data pihakpihak informasi data kirim pertamatama sandi enkripsi pesan bentuk sandi bentuk data asli deskripsi baca terima seni sandi kriptografi metode algoritma rivest shamir adleman rupa salah metode kriptografi rekomendasi bangun sistem aman konsep asimetris algoritma kunci beda proses enkripsi deskripsi metode hasil sistem aman sulit sadap banding metode data encryption system metode pilih metode efektif konsumsi enkripsi memory resources metode pilih banding metode advanced encryption system metode potensi serang attack tulis tarik bangun sistem aman mengkombinasikan masingmasing metode teliti tulis bangun sistem aman bahasa program dasar timbang aktivitas situs dinamis teliti harap salah urgensi butuh sistem aman website
11,teknologi informasi jamur timbul saing dorong inovasi tahan eksistensi kembang usaha analisis pola selera konsumen perhati usaha utama industri sedia bahan pokok makan kembang industry sedia bahan pokok makan lepas puas nyaman konsumen hadap industry distributor mart rupa salah industri sedia bahan makan layan tingkat saing ketat industry distributor mart hati butuh konsumen langsung pengaruh hadap opsi konsumen pilih penuh butuh tugas tulis metode apriori gali pola hubung atributatribut frequent itemsets transaksi laku konsumen hasil metode nilai support nilai confidence rekomendasi pola selera konsumen support confidence algoritma apriori terap metode apriori acu management distributor mart strategi pasar acu rekomendasi pola selera konsumen hasil
12,dokumen berita ukur sulit baca baca serap informasi teks ringkas teks otomatis rupa salah informasi cepat relevan ringkas teks otomatis teknik ekstraksi milik proses ringkas kalimatkalimat buah dokumen salah puluh fitur ekstraksi teks teliti bobot puluh fitur ekstraksi teks teliti laku zulkifli puluh fitur ekstraksi teks algoritma genetika hasil akurasi harap teliti bobot puluh fitur ekstraksi hasil akurasi metodologi teliti liput studi literatur analisis implementasi uji analisis hasil simpul studi literatur laku paham kait ringkas teks otomatis metode jaring syaraf tiru susun teliti rupa buku jurnal artikel laku analisis butuh sistem tuju laku model dasar metode tahap program hitung skor kalimat dasar fitur ekstraksi terap algoritma jaring syaraf tiru rancang update nilai bobot laku uji hadap sistem bangun laku hitung nilai precision recall fmeasure banding hasil ringkas sistem hasil ringkas ahli tahap tarik simpul sesuai hasil metode jaring syaraf tiru implementasi bangun sistem ringkas teks otomatis multidokumen mengunakan puluh fitur ekstraksi ringkas teks bahasa indonesia teliti hasil uji hasil akurasi dasar hasil coba laku performansi akurasi data latih
13,aplikasi platform android khusus bantu kembang ajar anak aplikasi aplikasi kenal huruf angka warna bentuk binatang hapalan sedia ajar baca tanda aplikasi mari kenal buah aplikasi didik isi ajar kenal baca anakanak kenal bentuk baca aplikasi lengkap narasi dukung bantu anakanak lancar baca materi saji gambar sound narasi animasi anakanak selesai ajar main games edukatif uji aplikasi basis android adobe flash
14,butuh masyarakat hadap informasi internet dorong pilih konsumen pilih layan internet salah telkom sedia layan indihome optical distribution point titik koordinat rumah langgan jalur jalur pendek hasil jarak optimal teliti tulis metode particle swarm optimization metode jalur pendek capai destinasi tuju singkat rupa metode cari solusi cepat banding metode algoritma genetika proses algoritma particle swarm optimization bangkit populasi bangkit velocity evaluasi personal best global best update velocity update populasi evaluasi update personal best update global best terap local search cari solusi daerah global best dasar hasil uji laku sistem hasil jalur total jarak optimal algoritma particle swarm optimization uji laku banding parameter beda lihat pengaruh particle count epoch hadap total jarak nilai uji epoch jarak optimal
15,twitter rupa wadah utara tanggap hadap barang buah status tweet tanggap rupa tanggap positif negatif pengaruh orang media sosial twitter picu peluang laku analysis sentiment opinion mining respon tanggap orang hadap manfaat proses ambil putus teliti analisis sentimen laku klasifikasi tweet kelas sentimen positif kelas negatif tahap text preprcessing feature selection proses klasifikasi metode analisis sentimen metode lexicon based opinion lexicon milik metode knearest neighbor teliti laku skenario hubung proses text preprocessing feature selection corpus rupa kumpul tweet twitter kena jenis hotel hyatt marriot data tweet label manual kelas positif negatif hasil uji skenario nilai akurasi metode lexicon based hotel hyatt hotel marriot nilai akurasi metode knearest neighbor
16,peran teknologi informasi hadap ambil putus kait strategi giat bisnis capai tuju rupa bukti kembang teknologi kembang pesat tingkat daya saing usaha tuntut pantau proses jual dasar jual produk bloods industries alam tingkat manajemen alam sulit kelola lapor data jual butuh struktur simpan data efisiensi kelola analisis dukung ambil putus cepat hambat salah laku data warehouse hasil teliti buah data warehouse cakup aplikasi terap multidimensional modeling data warehouse bangun dasar metode olap online analytical processing tampil star schema design hasil informasi analis kena data jual bantu usaha ambil putus efisien
17,member rewards jenis layan member hardware indonesia customer hardware indonesia layan membernya laku registrasi member rewards laku manual proses pengiputan data sistem laku customer service customer member rewards indonesia laku ecek poin hasil belanja poin sulit customer customer store hardware customer service member rewards alam sulit lihat poin dasar hasil transaksi hardware indonesia laku kerjasama merchant hotelhotel wisata caf indonesia customer member rewards indonesia diskon khusus informasi untung member rewards indonesia customer hardware indonesia kembang sistem customer relationship management member rewards selesai hadap meningkatakan loyalitas customer rancang kembang sistem customer relationship management member rewards metodologi kembang sistem software development life cycle sdlc metode waterfall data flow diagram rancang tabeltabel relasi database entity relationship management implementasi kembang sistem bahasa program mysql kembang sistem customer relationship management member rewards fasilitas lihat masuk ubah kelola data member data konfirmasi bayar customer care history poin informasi transaksi promo merchant kuis
18,sistem manajemen karir rupa salah sistem indonesia persero sistem manajemen karir isi atur atur karyawan atur grade kelompok jabat personal value proses mutasi sistem manajemen karir belah karyawan usaha karyawan sistem harap acu standar kembang karir kerja usaha maksud mudah atur bisnis proses karyawan sistem indonesia persero laku manual atur grade kelompok jabat personal value rekomendasi calon karyawan proses rekomendasi calon karyawan mutasi objektifitas calon karyawan cakap pegawai maksimal buah perangkat lunak alternatif solusi kendala kerja indonesia persero utama kembang karir bang karir rancang sistem capai giat efektif efisien tunjang aktifitas usaha kembang aplikasi sistem manajemen karir rancang dasar metode waterfall rupa implementasi metode kembang perangkat lunak system development life cycle sdlc model konsep kembang aplikasi dasar metode diagram alir data aplikasi sistem manajemen karir aplikasi hypertext processor akses database aplikasi perangkat lunak mysql lapor tugas implementasi indonesia persero utama divisi sumber daya manusia kembang karir bang karir indonesia persero bangun perangkat lunak harap bantu proses atur sistem manajemen karir bantu kelola rekomendasi calon karyawan mutasi laku divisi sumber daya manusia kembang karir bang karir indonesia persero
19,manfaat teknologi informasi proses bisnis akumulasi data salah organisasi manfaat teknologi informasi universitas widyatama akumulasi data bantu transformasi data informasi terap data mining engine data mining engine bangun metode regresi linier tuju gali temu polapola sembunyi data nilai uji saring masuk data indeks prestasi sehiingga informasi hasil dasar analisis ambil putus nilai database bangun data mining engine bangun aplikasi microsoft visual studio aplikasi interface system olah basis data microsoft server data mining engine system operasi microsoft windows microsoft windows server familiar laku teliti nilai pengaruh persentase data sampel data populasi simpul nilai hadap nilai milik hubung erat
20,sarana informasi bantu selesai kerja komputer salah media hibur tarik main game game rupa media hibur minat masyarakat main game salah pilih hibur favorit jenuh stres media hibur game batu ajar anak game jenis game edukasi proses ajar senang media game edukasi anak semangat ajar didik khusus bahasa asing bahasa inggris susah dipelajarai teknologi manfaat salah sarana batu proses ajar bahasa inggris pandu anakanak main ajar game mobil jalan mobil jalan timer mengitung mundur timer point user timer habis user salah mobil langsung ledak game over game edukasi tuju anakanak sekolah game dibangung unity
21,iring kembang jaman manusia alat serba canggih utama bidang teknologi informasi kembang teknologi informasi ubah dunia serba mudah berkat dukung teknologi komputer bukti mekanisme kerja efektif efisien cari apotek sedia obat butuh masyarakat apotek sesuai cari butuh obat sistem informasi sedia data obat butuh sesuai kriteria salah kriteria jarak tuju lokasi apotek faktor jarak teliti rupa timba masyarakat jarak masuk parameter cari sedia data obat apotek sistem bangun basis bahasa framework laravel selesai bangun sistem laku cari apotek lokasi current location tampil sedia data obat apotek solusi wujud data latitude longitude haversine formula rupa buah jarak linkaran radius titik muka bola bumi dasar garis bujur lintang haversine formula rusum hitung jarak titik inputan latitude longitude titik hitung jarak titiktitik
22,cerdas visualspasial salah jenis cerdas teori multiple intelligences utara kali howard gardner cerdas visualspasial rupa jenis cerdas menitikberatkan lihat dunia visual spasial akurat software main interaktif anak usia eksplorasi latih cerdas visualspasial rupa aplikasi eksplorasi cerdas visualspasial anak usia main sarana ajar bentuk main didik rumah aplikasi bangun program adobe flash bahasa program actionscript interface coding system bangun kembang perangkat lunak tool unified modeling language aplikasi manfaat tumbuh kembang cerdas anak usia utama cerdas visualspasial aplikasi manfaat orang cerdas anak milik rujuk ambil langkah kembang cerdas milik anak
23,kembang teknologi informasi pesat dampak pola ajar alam ubah materi laku media media maksud komputer program software komputer proses ajar labih efektif efisien aplikasi media interaktif salah jenis software bantu proses ajar visualisasi respon buah aplikasi interaktif bantu paham materi aplikasi ajar kenal objek tarik perhati anak sesuai minat butuh anak buku praktis kenal objek dasar gambar buku ajar mengunakan media buku nampaknya sulit bosan salah tarik perhati anak bantu ajar kenal obyek lagu media interaktif animasi audio visual meruapakan hasil integrasi unsur animasi kartun lagu bebasis teknologi perangkat lunak adobe flash saji obyek dasar lagu anak nyanyi aplikasi ajar multimedia interaktif harap media bantu alternatif sistem ajar proses ajar ajar
24,studi telusur alumni laksana jaring informasi alumni salah evaluasi kembang universitas widyatama studi telusur informasi alumni rupa salah komponen nilai akreditasi studi telusur alumni universitas widyatama manual form kumpul data telusur informasi telepon sistem manual biaya data alumni kumpul baharu mudah tugas sulit informasi alumni bangun sistem basis integrasi sosial media email interaksi form media kumpul data telepon telusur informasi alumni terap metode tracer study laku harap makan biaya data alumni baharu mudah telusur informasi terkaiy informasi kena alumni sistem bangun mudah giat kumpul data alumni telusur informasi alumni tingkat nilai efektifitas capai tuju efisiensi sumber daya biaya sistem baharu informasi alumni integrasi media sosial facebook email luas sebar informasi mudah telusur sasar
25,sistem verifikasi hadir jayamandiri gemasejati rupa salah sistem usaha sistem verifikasi hadir usaha kerja karyawan sesuai atur laku rfid rupa salah solusi laku verifikasi hadir rfid milik harga relative murah banding fingerscan sistem rfid tanggulang sulit verifikasi hadir khusus teknisi usaha kerja berat jari teknisi luka kotor akibat fingerprint baca monitoring hadir karyawan usaha laku monitoring cepat pimpin karyawan laku verifikasi hadir sesuai atur hadap karyawan laku jalan dinas kantor cabang verifikasi hadir laku monitoring hadap karyawan laku jalan dinas karyawan laku jalan dinas karyawan karyawan laku jalan dinas laku kerja sistem laku jalan dinas sistem laku catat hadir karenan sistem simpan data fingerprint karyawan kantor cabang masingmasing tugas tulis laku kembang sistem verifikasi hadir rfid teknologi pimpin laku monitoring hadir karyawan
26,usaha cemara agung produksi kain pabrik sulit lapor kena sistem produksi produksi kain laku hasil kain hasil faktor pengaruh hasil produksi kain cacat kain human error sistem tampil lapor produksi utama kena cacat kain sistem rancang rupa buah dashboard basis akses awai cemara agung sangkut produksi kain pabrik hasil rancang sistem rupa grafik dashboard business intelligence berisik informasi kena lapor produksi kain cacat kain prediksi cacat kain implementasi dashboard business intelligence proses saji analisis lapor sistem produksi kena produksi kain cacat kain optimal akses
27,usaha instansi kait terap sistem nilai kerja karyawan manfaat teknologi informasi turun semangat kerja karyawan fasilitas bantu motivasi karyawan kerja program clustering nilai kerja karyawan apresiasi kerja reward karyawan kerja konsisten loyal buah perangkat lunak analisis performansi kerja karyawan metode fuzzy cmeans clustering terap usaha basis evaluasi karyawan data karyawan promosi maju karir objektif cermat teliti teliti metode fuzzy cmeans clustering teknik pengclusteran data tiaptiap data cluster nilai anggota fuzzy cmeans teknik clustering kelompok data titiktitik data cluster derajat anggota dasar hasil implementasi hasil quesioner isi manajer ambil simpul aplikasi analisis kerja performansi karyawan nyata manfaat usaha nilai kerja karyawan basis teknologi point tuju penuh desain interface program nyaman component anggap menu program jalan sesuai fungsi tuju penuh butuh kelola sumber daya manusia usaha
28,luap sungai tahan debit salah faktor banjir akibat rugi hadap masyarakat tugas pintu siang malam tugas catat debit elemen salur informasi kait status pintu masyarakat batas tugas pintu orang manusia pantau siang malam informasi kena masyarakat batas media informasi informasi kait status pintu masyarakat langsung masyarakat antisipasi banjir teliti tugas laku bangun early warning sistem basis ukur pintu sensor ultrasonik arduino mikrokontroler hubung perangkat keras sistem kirim pesan singkat masyarakat status pintu ubah status masyarakat daftar kirim pesan registrasi sistem masuk data nomor telepon sangkut langsung sistem tugas pintu pantau status pintu sistem langsung
29,jadwal tera ulang kalibrasi balai metrologi bogor rupa salah uptd dinas industri dagang provinsi jawa barat balai metrologi bogor milik luas wilayah kerja luas milik spbu timbul muncul pantau hadap giat proses tera ulang kalibrasi liput batas tugas ahli tata sesuai standar laku batas standar takar sistem jadwal scheduling laku manual milik kendala hilang data lambat akibat laku tera ulang merugiakan metrologi spbu teliti tuju bangun aplikasi jadwal scheduling data spbu jadwal diteraulang kalibrasi cepat akurat curang data benaroleh bangun aplikasi metrologi mudah informasi batas spbu sistem aplikasi bantu kendala muncul jadwal tulis coba teliti judul aplikasi jadwal tera ulang kalibrasi studi balai metrologi bogor harap sistem solusi maju metrologi
30,agam jahat dunia digital masyarakat batasanbatasan hukum dunia digital dampak tingkat bentuk tindak jahat digital jahat digital salah sebar konten sifat hina leceh orang lembaga metode identifikasi laku selidik metode generic computer forensic investigation model gcfim tools imager osorensics recuva dukung sidik laku cari barang bukti digital barang bukti data hilang temu recovery tools imager recuva osforensics beda hasil tools dasar hasil uji presentase hasil recovey data imager recuva osforensics tools dasar hasil uji recovery data recuva butuh tools dukung laku imaging data imager osforensics
31,indonesia milik pariwisata bagus tarik wisatawan kunjung salah sumatera barat kenal indah alam pantainyauntuk bantu wisatawan pilih wisata tuju aplikasi mudah wisatawan cari dasar kriteria inputkan teliti metode fuzzy database model tahan referensi wisata kunjung sumatera barat metode fuzzy tahan wisatawan mudah cari wisata kunjung sesuai kriteria pilih rancang aplikasi unified modeling language bahasa model bangun sistem bangun tahap implementasi bahasa program basis data database mysql rencana uji aplikasi basis teknik black hasil implementasi aplikasi jalan wisata sumatera barat milik fitur cari wisata dasar kriteria eventevent selenggara sumatera barat forum informasi sesame wisatawan
32,tumbuh bisnis bidang agent property kembang butuh masyarakat buah huni tingkat media brosur senjata utama orang agent property promosi tipe property nilai milik batas rupa objek batas informasi media brosur proses pasar monoton teknologi augmented reality basis android proses pasar tarik fleksibel augmented reality teknologi gabung benda maya dimensi dimensi buah lingkung nyata dimensi proyeksi bendabenda maya nyata real time aplikasi unity unity rupa perangkat lunak dukung integrasi game arsitektur bangun simulasi unity rancang proses desain modelling unity tool desain desain editor dsmax blender sketchup aplikasi bangun teknologi augmented reality basis android bantu proses pasar produk tarik informatif tampil objek visualisasi bentuk tampil tarik aplikasi tampil informasi kena produk pasar uji aplikasi laku responden ukur layak aplikasi hasil kuisioner hasil responden augmented reality paham respoden hadap augmented reality aplikasi daya tarik aplikasi tarik perhati kualitas objek aplikasi lengkap informasi
33,sentiment analysis milik peran proses informasi teks dokumen media onlinedengan sentiment analysis simpul opini dokumenpenelitian aplikasi teknik sentiment analysis evaluasi hasil opini orang faktor bantu kembang kendali mutu organisasi khusus didalm teliti kendali mutu fasilitas kuliah metode klasifikasi na ve bayes classifier hasil klasifikasi tipe opini opini negatif opini positif kuesioner teknik kumpul informasi analis ajar sikapsikap perilaku karakteristik orang utama organisasi pengaruh system aju system adadalam kendali mutu organisasi kuesioner milik pengaruh penilitian kuesioner kuliah langsung kena mutu kendali widyatama kuesioner analisis sentiment mentukan nilai metode na ve bayes nilai hasil opini mahasiswa kena fasilitas universitas widyatama
34,manet mobile adhoc networks butuh iring kembang teknologi nirkabel tukar data dinamis protokol routing manet fault laku simulasi jaring meraga perilaku jaring hitung interaksi entitas jaring beda metode prototyping analisis kerja protokol routing rfta laku network simulator uji parameter delay packet delivery ratio throughput routing overhead protokol routing rfta manet topologi mesh pengaruh node koneksi pengaruh jarak node jarak node protokol routing rfta kerja jaring manet
35,olah data absensi mahasiswa laku universitas widyatama jalan manual akurat timbul celah laku curang hati butuh buah sistem informasi dukung giat kelola data absensi mahasiswa membantudan mudah kerja sistem informasi maksud rancang sistem informasi model diagram proses flowchart proses bisnis skema basis data giat absensi mahasiswa rancang alat fingerprint metode biometric minutiae alat harap mudah tingkat curang proses absensi mahasiswa universitas widyatama sistem informasiperusahaan bahasa program basis data server akses sistem informasiini admin dosen admin laku olah data mahasiswa kelas mata kuliah dosen buka kelas kelola hadir mahasiwa
36,sistem rupa aspek jaga langsung buah usaha analisa rancang sistem inventori tuju cari lemah sistem solusi lemah sistem sistem inventori bengkel mitra motor bangun sistem informasi informasi hasil cepat akurat tulis tugas metode analisis rancang analisis laku laku survei hadap sistem jalan analisis hadap temu survei identifikasi butuh sistem informasi butuh usaha identifikasi syarat sistem analisis rancang sistem laku metode economic order quantity notasi data flow oriented tool data flow diagram rancang basis data model relasi tool entity relationship diagram diagram aplikasi bangun bahasa program visual basic mysql simpan data hasil aplikasi sistem tampil status barang lapor owner bengkel motor hasil teliti sistem inventori jalan usaha informasi jalan cepat akurat rancang sistem inventori sistem jalan cepat alir informasi cepat akurat usaha
37,nowadays there many retail marts cambodia most retail marts still using traditional method keep data about their retail marts some retail marts already have system still enough perform their usual tasks that they have some difficult problems manage keep data safely especially retail mart owners seldom know true exact profit their business retail management system provided stable secure powerful system which containing feature user friendly solve problems above provides solution replacing manual work done manage inventory staff supplier finance records fully functional retail management system that featured with userfriendly provided users manage stored data information systematically efficiently conclusion author hopes this project make users easier this system improve business author strongly believes that retail marts cambodia need much
38,bidang hukum rupa bidang jarang sentuh teknologi informasi bidang kait erat masyarakat perdata pidana ambil putus kait perkara perkara orang hakim ganti teknologi orang acara peran argumenargumen bantu orang hakim ambil putus sistem pakar laku cari pasal cari sanksisanksi hadap langgar hukum undang undang republik indonesia nomor cipta user laku konsultasi sistem user pertanyaanpertanyaan aju sistem proes kembang inferensi backwardchaining teknik cari depth first search proes bangun aplikasi borland delphi basis data paradox lingkung sistem operasi basis windows
39,kendara pribadi sarana transportasi tuju belanja wisata lai alami kendara sedia parkir lahan parkir lokasi tuju kendara parkir alam sulit parkir kendara tuntut kendara proses cari parkir kosong informasi sedia parkir lahan parkir sistem tuju informasi sedia parkir kendara laku reservasi parkir lokasi tuju aplikasi android realtime akses jarak deteksi sedia kendara parkir laku ukur jarak sensor ultrasonik pasang parkir hasil ukur tulis metode algoritma fuzzy logic status parkir kirim status sedia internet server hasil hitung fuzzy logic status isi status kosong
40,rsbmrumah sakit basis masyarakat buah sistem periksa bangun dprd kota cirebon perda alur periksa dokter spesialis langsung kunjung puskesmas bina dokter spesialis pasien pasien tangan dokter puskesmas sistsem periksa rsbm karna angka mati angka mati bayi indonesia bilang banding negaranegara asean kepala dinas sehat dinkes kota cirebon angka mati angka mati bayi jawa barat daerah indonesia asia tenggara dasar survey sehat rumah tangga angka mati lahir hidup angka mati bayi lahir hidup teliti kali terap rancang sistem rancang fokus topik departemen layan sehat anak puskesmas lingkung kerja dinas sehat kota cirebon rancang sistem rsbm saas software service metode teliti sdlc system development life cycle paradigma sdlc tahap kembang sistem tersetruktur hasil teliti aplikasi bahasa program kelola data kohort database terimpan hosting aplikasi sistem informasi jadwal dokter pasien aplikasi batu tugas laku monitoring data kohort tampil angka mati lahir anak grafik
41,aurora world cianjur rupa salah usaha produksi main boneka indonesia orientasi ekspor jalan bisnis usaha usaha butuh karyawan kompeten kualitas proses seleksi terima karyawan laku aurora world cianjur karyawan kompeten kualitas maksimal teknologi komputer butuh ambil putus proses seleksi karyawan efektif butuh sistem hasil putus cepat sistem seleksi terima karyawan terap metode simple multi attribute rating technique smart cari nilai normalisasi matriks kriteria metode technique order preference similarity ideal solution topsis laku rangking alternatif ambil putus
42,kembang teknologi bisnis gerak cepat knowledge salah butuh usaha tingkat efektivitas proses bisnis implementasi sosialisasi knowledge proses mudah karyawan usaha sibuk kerja masingmasing peduli kelola aset intelektual informasi hubung knowledge karyawan jalan tanggung karyawan hadap rupa referensi kena solusi terap akibat laku analisis silah fungsi knowledge management jaga knowledge harga usaha hilang ganti karyawan knowledge management rangkai giat usaha identifikasi cipta distribusi ajar usaha giat kait objektif usaha tuju capai hasil tingkat kerja temu solusi tingkat inovasi hasil capai teliti bangun buah aplikasi terap knowledge management usaha aplikasi bangun basis bahasa pemograman mysql database akses mudah harap sistem fasilitas karyawan gagas ide
43,proses roasting rupa salah tahap olah kopi roasting kopi sangrai kopi buah proses dunia kopi kenal nikmat kopi proses roasting hasil level level roasting laku light roast medium roast dark roast extra dark roast level roasting kopi level level roasting kopi total level roasting teliti olah kopi salah level jenis roasting kopi orang kenal jenis roasting kopi tulis usul rancang sistem identifikasi jenisjenis roasting biji kopi dasar gambar digital proses gambar jaring saraf backpropagation metode tuju jenis roasting biji kopi gambar digital jenis roasting kopi metodologi laku akuisisi gambar kamera mirrorless hasil gambar data trainning data testing preprocessing gambar proses scalling grayscalling langkah ekstraksi fitur gambar jenis level metode glcmgraylevel cooccurrence matrix normalisasi fitur ekstraksi decimal scalling klasifikasi gambar backpropagation neural network uji laku komposisi milik tingkat akurasi uji epoch hasil akurasi komposisi data training data testing epoch
